id,nomeCivil,sexo,dataNascimento,ufNascimento,municipioNascimento,escolaridade,ultimoStatus.nome,ultimoStatus.siglaPartido,ultimoStatus.siglaUf,falecida,ano_nascimento,idade,geração
74554,JOSÉ ALVES ROCHA,M,1948-08-18,BA,Coribe,Pós-Graduação,José Rocha,UNIÃO,BA,False,1948,77,Baby Boomers (1946-1964)
178922,FRANCISCO TADEU BARBOSA DE ALENCAR,M,1963-04-08,CE,Juazeiro do Norte,Superior,Tadeu Alencar,PSB,PE,False,1963,62,Baby Boomers (1946-1964)
178987,ORLANDO SILVA DE JESUS JUNIOR,M,1971-05-27,BA,Salvador,Superior,Orlando Silva,PCdoB,SP,False,1971,54,Geração X (1965-1980)
74270,GILBERTO NASCIMENTO SILVA,M,1956-07-09,SP,São Paulo,Superior,Gilberto Nascimento,PSD,SP,False,1956,69,Baby Boomers (1946-1964)
74400,PAULO ROBERTO SEVERO PIMENTA,M,1965-03-19,RS,Santa Maria,Superior,Paulo Pimenta,PT,RS,False,1965,60,Geração X (1965-1980)
122974,PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,M,1979-11-01,MA,São Luís,Superior,Pedro Lucas Fernandes,UNIÃO,MA,False,1979,46,Geração X (1965-1980)
74471,ANDRÉ CARLOS ALVES DE PAULA FILHO,M,1961-07-22,PE,Recife,Superior,André de Paula,PSD,PE,False,1961,64,Baby Boomers (1946-1964)
160531,JOHNATHAN PEREIRA DE JESUS,M,1983-09-03,RR,Boa Vista,Superior,Jhonatan de Jesus,REPUBLICANOS,RR,False,1983,42,Millennials - Geração Y (1981-1996)
74262,CARLOS HENRIQUE FOCESI SAMPAIO,M,1963-03-31,SP,Campinas,Superior,Carlos Sampaio,PSD,SP,False,1963,62,Baby Boomers (1946-1964)
178916,DANIEL PIRES COELHO,M,1978-11-04,PE,Recife,Superior,Daniel Coelho,CIDADANIA,PE,False,1978,47,Geração X (1965-1980)
204391,JOSÉ NELTO LAGARES DAS MERCEZ,M,1960-09-19,MG,Tiros,Superior,José Nelto,UNIÃO,GO,False,1960,65,Baby Boomers (1946-1964)
178975,LUIZ FELIPE BALEIA TENUTO ROSSI,M,1972-06-09,SP,São Paulo,Superior,Baleia Rossi,MDB,SP,False,1972,53,Geração X (1965-1980)
160510,LUIS HENRIQUE DE OLIVEIRA RESENDE,M,1971-07-23,MG,Belo Horizonte,Superior Incompleto,Luis Tibé,AVANTE,MG,False,1971,54,Geração X (1965-1980)
204468,JOENIA BATISTA DE CARVALHO,F,1973-04-20,RR,Boa Vista,Mestrado,Joenia Wapichana,REDE,RR,False,1973,52,Geração X (1965-1980)
178863,ULDURICO ALENCAR PINTO,M,1992-01-30,DF,Brasília,Superior,Uldurico Junior,MDB,BA,False,1992,33,Millennials - Geração Y (1981-1996)
133439,ANDRÉ PEIXOTO FIGUEIREDO LIMA,M,1966-11-10,CE,Fortaleza,Pós-Graduação,André Figueiredo,PDT,CE,False,1966,59,Geração X (1965-1980)
178975,LUIZ FELIPE BALEIA TENUTO ROSSI,M,1972-06-09,SP,São Paulo,Superior,Baleia Rossi,MDB,SP,False,1972,53,Geração X (1965-1980)
107283,GLEISI HELENA HOFFMANN,F,1965-09-06,PR,Curitiba,Pós-Graduação,Gleisi Hoffmann,PT,PR,False,1965,60,Geração X (1965-1980)
160510,LUIS HENRIQUE DE OLIVEIRA RESENDE,M,1971-07-23,MG,Belo Horizonte,Superior Incompleto,Luis Tibé,AVANTE,MG,False,1971,54,Geração X (1965-1980)
204506,MARCOS ANTONIO PEREIRA,M,1972-04-04,ES,Linhares,Pós-Graduação,Marcos Pereira,REPUBLICANOS,SP,False,1972,53,Geração X (1965-1980)
178989,RENATA HELLMEISTER DE ABREU,F,1982-04-15,SP,São Paulo,Superior,Renata Abreu,PODE,SP,False,1982,43,Millennials - Geração Y (1981-1996)
141470,JOSÉ NOBRE GUIMARÃES,M,1957-02-13,CE,Quixeramobim,Superior,José Guimarães,PT,CE,False,1957,68,Baby Boomers (1946-1964)
220681,FÁBIO HENRIQUE DIAS DE  MACEDO,M,1981-09-18,MA,Dom Pedro,Ensino Médio,Fábio Macedo,PODE,MA,False,1981,44,Millennials - Geração Y (1981-1996)
160674,HUGO MOTTA WANDERLEY DA NÓBREGA,M,1989-09-11,PB,João Pessoa,Superior,Hugo Motta,REPUBLICANOS,PB,False,1989,36,Millennials - Geração Y (1981-1996)
204494,FREDERICO BORGES DA COSTA,M,1977-07-12,MG,Belo Horizonte,Superior Incompleto,Fred Costa,PRD,MG,False,1977,48,Geração X (1965-1980)
160553,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,M,1969-01-17,BA,Salvador,Superior,Antonio Brito,PSD,BA,False,1969,56,Geração X (1965-1980)
178882,ANDRE LUIZ CARVALHO RIBEIRO,M,1989-08-27,MA,Santa Inês,Superior,André Fufuca,PP,MA,False,1989,36,Millennials - Geração Y (1981-1996)
72442,FELIPE AUGUSTO LYRA CARRERAS,M,1975-04-16,PE,Recife,Superior Incompleto,Felipe Carreras,PSB,PE,False,1975,50,Geração X (1965-1980)
160510,LUIS HENRIQUE DE OLIVEIRA RESENDE,M,1971-07-23,MG,Belo Horizonte,Superior Incompleto,Luis Tibé,AVANTE,MG,False,1971,54,Geração X (1965-1980)
204560,ADOLFO VIANA DE CASTRO NETO,M,1981-02-02,BA,Salvador,Superior,Adolfo Viana,PSDB,BA,False,1981,44,Millennials - Geração Y (1981-1996)
